1	5.06%
2	5.06%
3	5.06%
4	5.06%
5	5.06%
6	5.06%
7	5.06%
8	5.06%
9	5.06%
10	5.06%
11	5.06%
12	5.06%
13	5.06%
14	5.06%
15	5.06%
16	5.06%
17	5.06%
18	5.06%
19	5.06%
20	5.06%
21	5.06%
22	5.52%
23	6.22%
24	6.22%
25	7.13%
26	7.13%
27	8.15%
28	8.15%
29	9.17%
30	9.86%
31	10.5%
32	11.1%
33	11.7%
34	11.7%
35	12.5%
36	13.2%
37	13.2%
38	14.1%
39	15.0%
40	15.0%
41	16.0%
42	16.8%
43	16.8%
44	17.9%
45	18.6%
46	18.6%
47	19.5%
48	19.5%
49	20.3%
50	21.0%
51	21.9%
52	21.9%
53	22.7%
54	22.7%
55	23.8%
56	24.7%
57	24.7%
58	25.6%
59	25.6%
60	26.7%
61	27.3%
62	28.1%
63	29.1%
64	29.1%
65	30.1%
66	30.8%
67	30.8%
68	31.5%
69	32.3%
70	32.3%
71	33.2%
72	37.4%
73	37.4%
74	41.6%
75	41.6%
76	43.0%
77	44.5%
78	44.5%
79	45.4%
80	45.4%
81	38.4%
82	38.4%
83	39.4%
84	40.2%
85	40.2%
86	41.1%
87	41.7%
88	42.6%
89	42.6%
90	43.5%
91	44.3%
92	44.3%
93	45.4%
94	45.4%
95	46.2%
96	47.2%
97	47.2%
98	47.9%
99	49.0%
100	49.0%
101	50.1%
102	50.1%
103	50.9%
104	50.9%
105	52.7%
106	53.3%
107	53.3%
108	54.3%
109	55.0%
110	55.9%
111	55.9%
112	56.8%
113	56.8%
114	57.7%
115	58.3%
116	58.3%
117	59.4%
118	59.4%
119	60.4%
120	61.4%
121	61.4%
122	62.3%
123	62.3%
124	63.3%
125	63.3%
126	64.3%
127	64.9%
128	65.5%
129	66.1%
130	66.8%
131	66.8%
132	67.7%
133	67.7%
134	68.7%
135	69.5%
136	70.2%
137	70.2%
138	71.2%
139	71.2%
140	72.5%
141	76.8%
142	76.8%
143	77.6%
144	77.9%
145	78.2%
146	78.5%
147	78.9%
148	79.2%
149	79.8%
150	80.3%
151	80.5%
152	42.5%
153	42.5%
154	43.0%
155	43.4%
156	43.4%
157	43.9%
158	40.6%
159	40.6%
160	41.0%
161	41.0%
162	41.6%
163	41.9%
164	42.2%
165	42.6%
166	42.6%
167	43.0%
168	43.5%
169	43.5%
170	43.8%
171	44.1%
172	44.5%
173	44.5%
174	44.9%
175	45.2%
176	45.8%
177	45.8%
178	46.3%
179	46.3%
180	46.7%
181	47.1%
182	47.1%
183	47.6%
184	47.6%
185	48.1%
186	48.4%
187	48.9%
188	49.8%
189	49.8%
190	50.3%
191	50.7%
192	50.7%
193	51.1%
194	51.1%
195	51.6%
196	52.0%
197	52.4%
198	52.4%
199	52.8%
200	53.2%
201	53.2%
202	53.5%
203	54.0%
204	54.0%
205	54.4%
206	54.4%
207	54.7%
208	55.2%
209	55.2%
210	55.7%
211	55.7%
212	56.1%
213	56.6%
214	56.9%
215	56.9%
216	57.4%
217	57.7%
218	57.7%
219	59.1%
220	63.1%
221	63.1%
222	66.3%
223	68.1%
224	69.1%
225	69.1%
226	70.3%
227	71.0%
228	71.6%
229	71.6%
230	72.2%
231	72.6%
232	73.2%
233	73.6%
234	73.6%
235	74.1%
236	74.1%
237	74.5%
238	75.0%
239	75.2%
240	75.2%
241	75.8%
242	75.8%
243	76.2%
244	76.5%
245	76.5%
246	77.0%
247	77.0%
248	77.4%
249	77.4%
250	65.6%
251	66.0%
252	66.3%
253	66.3%
254	66.7%
255	67.1%
256	67.5%
257	67.5%
258	68.0%
259	68.0%
260	68.5%
261	69.0%
262	69.0%
263	69.6%
264	69.6%
265	70.0%
266	70.4%
267	70.4%
268	71.0%
269	71.0%
270	71.5%
271	71.5%
272	72.0%
273	72.4%
274	72.4%
275	72.9%
276	73.2%
277	73.6%
278	73.6%
279	74.1%
280	74.1%
281	74.6%
282	75.1%
283	75.1%
284	75.6%
285	75.6%
286	76.0%
287	76.4%
288	76.7%
289	77.0%
290	77.0%
291	77.5%
292	77.5%
293	78.1%
294	78.4%
295	78.4%
296	78.9%
297	78.9%
298	79.4%
299	79.4%
300	80.0%
301	80.3%
